date,bonds,bonds_global_gov,bonds_global,bonds_em_hc,bonds_em_local,equities_ch,equities_global_dev,equities_em,equities_global_sc,private_equity,infrastructure,ils,gold
30.04.00,0.000303413,-0.000248583,-0.002214575,-0.022116047,-0.031312138,-0.00061173,-0.007738259,-0.065711846,-0.036683045,-0.12474973,,,0.015041658
31.05.00,-0.001416718,0.003230596,-0.000027662,-0.024712931,-0.034777773,0.031672005,-0.048318206,-0.064441336,-0.039288513,-0.103702466,,,-0.029166266
30.06.00,0.009273325,0.004907807,0.008872936,0.041195122,-0.006861571,0.007181911,0.003310978,0.003650125,0.044515362,0.006670631,,,0.027971484
31.07.00,0.005403255,0.00503564,0.005049413,0.026346629,-0.010622872,0.025608992,-0.005788738,-0.030786969,-0.023151953,-0.012844558,,,-0.02001373
31.08.00,0.008545362,0.000973845,0.00455144,0.028693252,0.043632486,0.022556575,0.075661315,0.049823144,0.109289906,0.097523076,,,0.044918433
30.09.00,0.00434397,0.003669998,0.005264453,-0.013687666,-0.053734376,-0.067281559,-0.066209141,-0.102436344,-0.04226548,-0.062047267,,,-0.021950389
31.10.00,0.004521337,0.005676563,0.004807829,-0.020619831,-0.002904205,0.050829332,0.025711001,-0.033477065,-0.004476244,-0.081967816,,,0.00623232
30.11.00,0.009078991,0.01452703,0.013447713,-0.006036878,-0.068000171,0.004537892,-0.101856086,-0.128424759,-0.08832164,-0.147994838,,,-0.020702449
31.12.00,0.015142306,0.010114472,0.010873798,0.037669057,-0.039336123,0.018057554,-0.053277605,-0.046782254,-0.030687906,-0.075728104,,,-0.058629295
31.01.01,0.007343507,0.007616583,0.011099022,0.042026218,0.084964946,-0.004821335,0.035503811,0.145589774,0.052525372,0.093036707,,,-0.009655431
28.02.01,0.003130784,0.007749005,0.00709614,-0.009337002,-0.022619223,-0.052552453,-0.070963268,-0.06576552,-0.013122901,-0.063149996,,,0.023097236
31.03.01,0.010553193,0.005046914,0.005146386,-0.005168739,-0.030498417,-0.062676254,-0.025405363,-0.063771493,-0.014361361,-0.07064744,,,0.0045681
30.04.01,-0.007054537,-0.009889539,-0.00632654,-0.003259621,0.025771362,0.027012768,0.072026615,0.048748271,0.076769049,0.054957234,,,0.021730174
31.05.01,0.002733659,0.003369598,0.004959483,0.025603105,0.039125465,0.022682902,0.022288839,0.046227749,0.045321671,0.030935038,,,0.046134139
30.06.01,0.008063048,0.005066435,0.004288699,0.018139395,-0.013790898,-0.042099293,-0.031513785,-0.020573512,-0.00200953,-0.068059568,,,0.018563808
31.07.01,0.005494264,0.01221481,0.013718059,-0.028508466,-0.056461276,-0.047739405,-0.05182213,-0.103323902,-0.07299849,-0.119777395,,,-0.058134755
31.08.01,0.006940938,0.008720882,0.008596767,0.037826871,-0.021924424,-0.038587689,-0.08854401,-0.047544204,-0.0396941,-0.054896872,,,-0.006922374
30.09.01,0.00661828,0.007007115,0.007618092,-0.02526359,-0.101346891,-0.075431203,-0.123037904,-0.196337225,-0.172713595,-0.171726643,,,0.035687047
31.10.01,0.019236597,0.02025583,0.017880072,0.016245923,0.043504377,0.005525758,0.025351394,0.066608612,0.070870338,0.060444014,,,-0.037982613
30.11.01,-0.010389,-0.009798324,-0.008783542,0.006918055,0.052624523,0.027412555,0.063161341,0.105176105,0.066755966,0.096585738,,,-0.011429988
31.12.01,-0.010131059,-0.00727031,-0.006862979,0.009873958,0.037322786,0.03198539,0.018312824,0.088383252,0.037253005,0.00197814,0.02945009,,0.026080526
31.01.02,0.000183453,0.001184079,0.004656582,0.016950133,0.040701873,-0.023336811,0.004145516,0.067091323,0.013787836,0.004147838,0.009999982,,0.04410744
28.02.02,0.004666706,0.003069663,0.005089875,0.03104979,0.003955323,0.019278711,-0.01780069,0.007108084,-0.017762823,-0.032286884,-0.014821153,,0.041990986
31.03.02,0.000273835,-0.009603902,-0.010586436,0.001043913,0.016292146,0.051875532,0.032934226,0.04741741,0.065207803,0.070781301,0.042302435,-0.017619489,0.008533967
30.04.02,0.011794729,0.011481306,0.012672948,0.01281183,-0.016793441,-0.009978171,-0.07387926,-0.031879136,-0.021699142,-0.033175958,-0.005276911,-0.028677125,-0.019843183
31.05.02,0.006652308,0.002147127,0.004339507,-0.00237007,-0.024049719,0.010721256,-0.02504327,-0.043484326,-0.030002165,-0.017264108,-0.026919777,-0.025850933,0.026584448
30.06.02,0.009541291,0.012148686,0.009429146,-0.036316889,-0.065935009,-0.099019652,-0.124819568,-0.136541108,-0.114986706,-0.098630957,-0.077079784,-0.048873329,-0.083459871
31.07.02,0.012698583,0.011821788,0.009828664,-0.032374729,-0.035968076,-0.129558971,-0.089538442,-0.080586356,-0.116617135,-0.106957885,-0.076344178,-0.000327822,-0.049355108
31.08.02,0.007420698,0.013499935,0.013541353,0.054904589,0.02863334,0.009920046,0.01331439,0.026551418,0.0067106,-0.002141787,0.050434857,0.023405549,0.044847542
